StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q4_45,Q4_46,Q4_47,Q4_48,Q4_49,Q4_50,Q4_51,Q4_52,Q4_53,Q4_54,Q4_55,Q4_56,Q4_57,Q4_58,Q4_59,Q4_60,Q6,Q7,Q7_3_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11
26/02/2022 06:47,26/02/2022 06:52,0,100,351,1,26/02/2022 06:52,R_1hzgSDCfxYNXEqK,anonymous,EN,1,PR13 : The Brainstemers,5,5,4,1,3,5,5,4,3,4,2,3,5,5,4,3,5,5,5,3,5,4,4,4,3,3,5,5,2,4,4,5,4,5,4,2,3,4,4,5,4,5,5,1,3,5,1,2,1,3,1,5,4,5,3,5,4,5,5,2,39,3, ,1,,3,4,1
06/01/2022 19:44,06/01/2022 19:48,0,100,238,1,06/01/2022 19:48,R_24OVUtbZ67cuiHC,anonymous,EN,1,,1,3,2,1,3,2,4,4,1,4,5,2,3,4,4,5,2,4,5,5,2,1,3,1,1,4,4,2,1,3,5,3,5,5,5,3,3,4,4,4,2,4,4,4,1,2,2,3,1,2,4,5,3,5,2,3,3,3,5,4,20,2,,2,,1,2,1
06/01/2022 19:44,06/01/2022 19:49,0,100,335,1,06/01/2022 19:49,R_28IZUSJ8vOFAcyx,anonymous,EN,1,,4,4,2,4,1,4,5,4,4,4,2,4,4,4,4,2,2,4,2,5,4,4,4,5,1,2,2,4,4,1,2,4,4,2,5,1,2,4,2,4,2,4,4,1,2,4,4,2,4,2,3,5,4,2,2,4,4,2,2,3,18,2,,1,,6,6,1
07/01/2022 02:33,07/01/2022 02:41,0,100,524,1,07/01/2022 02:41,R_BrL8sxdpuyUSaIh,anonymous,EN,1,,4,5,2,5,1,4,5,4,1,5,4,4,3,5,4,2,1,4,5,5,4,2,4,2,2,1,5,2,1,2,5,4,2,5,5,4,1,2,5,5,3,5,4,1,1,4,2,2,1,2,3,5,2,5,1,4,1,2,5,4,18,2,,2,,1,2,1
07/01/2022 06:20,07/01/2022 06:31,0,100,647,1,07/01/2022 06:31,R_qJBNUArl14jM2yZ,anonymous,EN,1,,5,5,2,3,4,4,5,2,3,5,2,1,4,4,4,2,1,5,3,4,4,2,4,2,1,1,5,1,4,3,2,5,4,4,5,3,1,5,3,5,5,4,5,4,3,5,1,1,2,1,3,5,5,3,3,5,5,1,2,4,20,2,,3,,2,3,1
07/01/2022 06:41,07/01/2022 06:45,0,100,228,1,07/01/2022 06:45,R_2fJKqzKthtqizGW,anonymous,EN,1,,4,5,1,2,1,4,5,1,4,5,1,2,4,4,5,2,5,3,4,5,4,1,5,4,1,4,5,1,1,1,4,5,2,5,5,4,1,4,4,5,5,4,4,2,1,4,1,2,2,1,1,5,4,4,5,4,4,3,2,5,18,2,,2,,3,2,1
07/01/2022 09:45,07/01/2022 09:49,0,100,236,1,07/01/2022 09:49,R_0VerPgD86t1Ioal,anonymous,EN,1,,2,4,4,2,2,3,5,4,2,4,3,5,4,5,2,5,1,4,4,4,2,4,5,3,2,4,1,4,2,4,4,4,2,5,4,2,3,3,5,2,2,4,5,1,4,2,3,2,1,4,3,5,2,5,4,4,4,2,5,2,18,1,,3,,1,2,1
07/01/2022 16:59,07/01/2022 17:11,0,100,757,1,07/01/2022 17:11,R_12MDmGY9S4LoVDk,anonymous,EN,1,,5,5,2,2,4,2,4,4,3,4,2,2,4,4,4,1,1,4,4,2,2,3,4,2,4,2,4,3,2,3,2,4,4,4,4,4,2,4,4,4,3,4,4,2,1,4,2,1,2,4,4,4,2,3,3,4,4,3,4,3,18,2,,1,,1,1,1
08/01/2022 07:12,08/01/2022 07:16,0,100,220,1,08/01/2022 07:16,R_1PYSmc97rQ3zC8K,anonymous,EN,1,,4,4,1,1,4,3,5,5,2,3,2,4,4,5,1,3,2,4,4,3,4,1,4,1,3,5,4,2,1,4,3,3,3,5,3,5,1,2,5,4,2,4,5,1,5,5,3,2,1,2,2,5,3,4,3,2,1,4,5,1,20,2,,1,,2,3,1
08/01/2022 06:32,08/01/2022 07:27,0,100,3303,1,08/01/2022 07:27,R_3V4SJ9Dai0sXUOd,anonymous,EN,1,,5,5,1,3,4,3,5,2,4,4,2,4,4,3,3,2,1,4,1,2,4,3,2,4,3,1,5,1,2,2,2,4,5,2,4,2,2,5,3,4,5,4,5,2,2,4,1,1,2,5,2,5,5,2,3,4,3,1,4,4,18,2,,1,,1,2,1
08/01/2022 08:34,08/01/2022 08:39,0,100,304,1,08/01/2022 08:39,R_2eWKKMhAR0UWE7H,anonymous,EN,1,,4,5,1,5,2,4,5,3,3,4,2,3,5,3,4,3,4,4,4,3,3,2,3,3,4,5,4,3,2,3,4,4,5,4,2,4,1,5,4,5,2,4,5,3,3,4,3,1,2,4,3,5,5,3,2,4,4,3,5,2,18,2,,1,,1,2,1
08/01/2022 10:42,08/01/2022 10:48,0,100,361,1,08/01/2022 10:48,R_2E5fLTYzY6TelJg,anonymous,EN,1,,5,4,1,4,1,5,5,1,5,5,1,3,5,1,4,2,2,4,3,4,4,3,2,4,1,1,4,1,5,1,1,5,5,2,4,2,1,5,1,4,4,3,5,4,1,5,1,1,4,2,2,5,5,2,1,5,3,2,1,5,35,1,,1,,0,,1
08/01/2022 14:20,08/01/2022 14:25,0,100,288,1,08/01/2022 14:25,R_02t3dE9EIiJRnK9,anonymous,EN,1,,4,4,4,2,2,4,4,4,3,4,3,5,2,5,4,4,2,2,4,4,3,3,4,4,1,4,2,4,1,2,4,4,2,4,4,2,2,2,4,5,2,3,4,2,2,3,3,4,4,2,4,5,2,4,2,4,3,4,5,4,18,2,,2,,1,1,1
09/01/2022 02:47,09/01/2022 02:54,0,100,399,1,09/01/2022 02:54,R_3EFlxAwrS1pPHZq,anonymous,EN,1,,3,2,1,2,1,2,5,2,5,4,4,3,5,4,4,4,3,5,5,5,3,1,1,3,1,2,2,3,2,1,5,3,1,4,5,3,3,5,4,3,2,1,5,2,1,3,5,4,1,1,3,5,5,4,1,2,3,4,3,4,18,2,,1,,0,1,1
09/01/2022 03:51,09/01/2022 04:03,0,100,712,1,09/01/2022 04:03,R_3FRU9VmLf6h2mM5,anonymous,EN,1,,2,2,1,2,2,3,4,3,2,4,2,4,4,4,4,4,4,5,4,5,3,2,4,4,2,3,4,3,3,1,3,2,5,4,4,3,2,2,3,4,3,4,3,3,1,4,4,1,2,1,2,5,3,3,1,3,3,4,3,4,19,2,,2,,0,1,1
09/01/2022 06:15,09/01/2022 06:18,0,100,200,1,09/01/2022 06:18,R_1jPyveySe13tk1d,anonymous,EN,1,,4,4,4,2,2,2,4,4,2,4,2,4,2,4,4,4,1,4,4,4,2,2,5,2,2,4,4,4,2,2,4,2,4,4,4,2,2,4,4,4,3,4,3,2,2,4,2,3,2,4,2,4,2,4,2,3,2,4,3,4,19,1,,1,,2,3,4
09/01/2022 06:48,09/01/2022 06:53,0,100,285,1,09/01/2022 06:53,R_2sR6SCC32bpfCnE,anonymous,EN,1,,1,4,4,1,1,2,5,4,4,5,2,3,3,5,4,4,1,4,5,5,4,3,4,1,1,1,4,2,2,1,5,1,2,5,5,2,4,4,5,4,1,4,4,4,1,3,1,1,1,1,4,4,3,5,1,4,4,4,2,5,21,2,,1,,3,3,3
09/01/2022 06:49,09/01/2022 06:54,0,100,325,1,09/01/2022 06:54,R_1d0nT8xAslnwZIy,anonymous,EN,1,,2,4,2,4,2,3,5,3,3,4,1,2,3,1,4,2,1,2,4,2,4,3,4,4,3,2,5,2,3,2,3,4,2,1,4,2,1,4,3,4,3,3,4,3,1,2,1,3,4,5,1,4,4,2,3,3,2,1,4,3,19,1,,1,,1,1,1
