"Timestamp","Age (in whole years)","Gender","Please write as many words as you can beginning with the letter ""A"".","Please write down the names of as many different animals as you can.","Please write down as many swear words as you can."
"2024/04/19 4:06:44 pm CET","21","Woman","And, Also, Always, Acute, Angle, Angel, Alphabet, ","Cat, dog, rabbit, dear, turtle, octopus, giraffe, lion, tiger, bear, zebra ","Fuck, shit, bitch, arsehole, cow, dick, "
"2024/04/19 4:06:44 pm CET","44","Man","","Bear bee buzzard buffalo bluetit bird bonobo","Cunt fanny balls bustard arse ass shit fuck bastard "
"2024/04/19 4:06:44 pm CET","24","Woman","Apple
Alphabet
Applesauce
Air
Areoplane
Airport
Adjective
Abstract 
Anteater","Frog
Cat
Dog
Spider 
Butterfly 
Caterpillar
Horse
Giraffe
Eagle","Fuck
Shit
Bitch
Bastard
Crap
Cunt
Whore
Hoe
Motherfucker
Shite"
"2024/04/19 4:06:45 pm CET","22","Woman","Animal alphabet ant amygdala absolutely amazing art assessment again ","Elephantcat dog rabbit guinepigshark","Fuckcuntassholeprickbitchshit"
"2024/04/19 4:06:45 pm CET","23","Woman","As ask acknowledged already approved applied application answer and anticipation anticipate antimatter angina ","Cat dog rabbit squirrel whale snail otter groundhog beaver elephant lion tiger ferret fish shark giraffe ","Fuck shit cunt ass bitch damn arse prick "
"2024/04/19 4:06:45 pm CET","45","Woman","Ark angel arm","Cat dog fish monkey bird frog rabbit squirrel parrot ","Fuck shit bastard prick dickhead "
"2024/04/19 4:06:45 pm CET","45","Woman","Apple, answer, away","Bear, cat, dog bull cow sheep lamb giraffe elephant tiger lion ","Shit fuck bullshit arsehole wanker"
"2024/04/19 4:06:46 pm CET","24","Woman","Ant, apple, ","Cat, bat. Dog, fish, horse, pig, birds, rabbit, mouse","Fuck, bitch, bastard, shit, "
"2024/04/19 4:06:46 pm CET","22","Woman","Apparently, appendix , apple , autonomy , autopsy ","Car , dog , giraffe, elephant , raccoon , bear ","Fuckoff, shutup, "
"2024/04/19 4:06:46 pm CET","46","Woman","","Cat
Dog
Horse
Rabbit
Elephant
Parrot
Lion
Tiger
Leopard
Whale 
dolphin","Fuck
Arsenal
Tits
Bastard
Arsehole
Fuckpig
Wanker 
"
"2024/04/19 4:06:46 pm CET","25","Woman","","Dog cat hamster Rat fish gorilla monkey giraffe","Fuck arsehole cunt bastard dick "
"2024/04/19 4:06:46 pm CET","25","Man","Apple after anthropology acidic atypical astronaut astronomy ","Elephant tiger monkey giraffe panda penguin sunbear jaguar hippo ","Fuck shit Fanny cunt shite bastard motherfucker shitface"
"2024/04/19 4:06:46 pm CET","21","Woman","Arsehole
Asswipe 
Ass
","dog cat horse pig cow anteater elephant zebra lion tiger fish hamster parrot rabbit monkey","bullshit fuck arsehole fuck bastard fucker motherfucker shit "
"2024/04/19 4:06:47 pm CET","21","Woman","And, apple, an, aunt, antie, animal, alphabet, abriviate","Elephant ant bear tiger fish dog cat parrot bird lepoard seal eal polarbear","Fuck shit cunt asshole prick slut "
"2024/04/19 4:06:47 pm CET","23","Woman","And analysis ass an authority ","Cat dog squirrel fox bunny kangaroo giraffe ","Cunt, dickhead dick bitch fanny fuck "
"2024/04/19 4:06:47 pm CET","29","Woman","Animal, apple, after, aim, alligator  alliance, arrow at ","Cat dog giraffe gorilla panda elephant fish lizard rabbit guineapig ","Fuck cunt bitch shit shite slut whore"
"2024/04/19 4:06:48 pm CET","22","Woman","Animal
Age
Anger
Angel
Angle
Article
Antelope 
Apple
Acorn 
Antarctica 
Arrow","Panda
Monkey
Badger 
Pig
Sheep
Spider
Chicken 
Hen
Tiger
Zebra 
Buffalo
","Fuck
Shit
Bitch 
Wank
Cunt
Prick
Skank 
Arsehole "
"2024/04/19 4:06:48 pm CET","28","Woman","Alphabet
Around
Apple
Able
Answer
Anus
Arse
All
Another","Tiger
Rhino
Lion
Snake
Monkey
Zebra
Penguin 
Hippo
Flamingo
Dog","Cunt
Fuck
Bustard
Bugger
Arse
Arsehole
Twat
Shit"
"2024/04/19 4:06:48 pm CET","23","Woman","Anteater, animal, anomaly, anger, ape, apathy, animosity","Lion tiger bear ant rabbit dog dragon lizard spider snake snail sloth moth koala","Motherfucker asswipe fuckface dick pissbitch dumbfuck fuck"
"2024/04/19 4:06:48 pm CET","33","Man","Apple app able anxiety ","Cat dog snake mouse elephant toad frog","Fuck shit arse"
"2024/04/19 4:06:49 pm CET","28","Woman","Apple Adidas bī","Cat dog rabbit hamster mouse rat horse giraffe sheep donkey","Fuck shit wanker"
"2024/04/19 4:06:49 pm CET","21","Man","Apple","Cat dog frog elephant mouse rat giraffe crocodile lion zebra sheep cow pig","Fuck shit bastard cunt bitch arsehole prick dick fanny"
"2024/04/19 4:06:49 pm CET","36","Woman","And
Architect
Again
Art
Artist
Apt
Adequate
Adage
About","Cat
Dog
Parrot
Lion
Tiger
Leopard
Horse
Cow
Lizard
Kangaroo
Goldfish
","Fuck
Shit
Arse
Ass
Stick
Dick
Cock
Cunt
"
"2024/04/19 4:06:50 pm CET","24","Woman","Alphabet, alpha, apple, animal, acting, ate, apostrophe, and, abuse, angry, amended, ashamed, asked, arrested, attacked, atari, atypical, asshole, air","Dog, cat, bear, deer, lion, tiger, horse, cow, giraffe","Fuck, shit, bitch, cunt, ass"
"2024/04/19 4:06:50 pm CET","22","Woman","Animal
Age 
Anger
Amanda
Angel
Angrily 
Acorn 
Arrow","Panda
Dog
Cat
Badger
Fish
Snake
","Fuck
Shit
Bitch
Cunt
Wank
Skank
Prick
Slut
Slag
Whore
Arse
"
"2024/04/19 4:06:50 pm CET","21","Woman","apple asshole angry awesome application and an amazing app access accuracy across always","polarbear penguin lion tiger dog cat pigeon flamingo owl monkey koalabear ","asshole bitch cunt wanker bellend cocksucker dick prick nword"
"2024/04/19 4:06:50 pm CET","48","Man","Arse, aries, and, apologies","Goat, stout, cat, elephant, dig, mouse, fly, ","Fuck, cunt, arse, twat, shit, bawbag, pissflaps"
"2024/04/19 4:06:50 pm CET","39","Woman","Apple ape apricot April arsenal ariel arena all","Cat dog money elephant mouse rat pig horse flea chimp","Fuck cunt twat arse Shite wanker"
"2024/04/19 4:06:50 pm CET","26","Man","Asshole, assignment, alignment, ally, agitator, alligator, arse, agreed, annihilation ","Lion, tiger, alligator, cat, dog, hamster, fish, shark, dove, bird, seal, penguin","Fuck, cunt, shit, asshole, fuckwit, arse, "
"2024/04/19 4:06:50 pm CET","25","Man","Apple anomaly animal animation award aardvark arrest article ","Aardvark ant angelfish ","Arsehole fuck shit bitch hardarse shit hole "
"2024/04/19 4:06:52 pm CET","22","Woman","","Ant
Antelope
Spider
Dog
Cat
Tiger
Lion
Elephant
Rhino","Fuck
Shit
Cunt
Dickhead
Twat
Pedo
Bitch
Fucker
Motherfucker
Asshole"
"2024/04/19 4:06:54 pm CET","21","Nonbinary","Atom
Apple
After
And
Antidote
Armadillo
Any 
Ad-lib
Anti ","Beaver
Marmot
Dog
Cat
Bird
Duck
Fish
Chicken
Panda
Raccoon
Fox
Rat
Whale","Fuck
Shit
Bitch
Cunt
Motherfucker
Dick
Bastard"
"2024/04/19 4:07:32 pm CET","40","Woman","Apple. And . As are assort animal ","Dog cat rabbit spider elephant bear tiger ","Fuck shit crap bastard cunt shit "
"2024/04/19 4:08:07 pm CET","23","Man","Animal, alphabet, apple, add, and, arrange, attach, atomic, Anal","Cat, dog, bird, snake, hamster, guinea pig, pig, cow, sheep, rat, mouse, giraffe, leopard ","Cunt, bitch, fuck, whore, piss, bloody, damn, shit. "
