Timestamp,Age (in whole years),Gender,"Please write as many words as you can beginning with the letter ""A"".",Please write down as many different types of animal as you can.,Please write down as many swear words as you can.
2024/02/28 6:17:56 pm GMT,20,Woman,ass anxiety ancient as always america asexual attribute among ,"elephant, zebra, chicken, dog, cat, gecko, snake, chameleon, giraffe, penguin, lizard, spider, hen, pig, cow, squirrel, hamster, gerbil, rabbit,
hedgehog ","fuck, shit, cunt, whore, ass, slut, motherfucker, hoe, bastard, wanker, "
2024/02/28 6:17:56 pm GMT,21,Woman,Auntie antique animal antiseptic antidote antibacterial antisocial angels antelope anticipate anaphylaxis anterior ,"Snake, rat, goat, pig, dog, cat, lion, tiger, bear, giraffe, monkey, ferret, elephant, bear, sunbear, ","Cunt, fuck, shit, bitch, slut, cow, dog, rat, arsehole, dickhead, cuntface, pish, piss, "
2024/02/28 6:17:57 pm GMT,22,Woman,A,"Rabbits, snake, dog, cat, fish , dophine, lion, tiger, polarbear, elephant, jellyfish, giraffe","Bitch, ass, fuck, whore,  slut, retard, asshole, penis"
2024/02/28 6:17:57 pm GMT,21,Woman,"Asshole
apple 
Apply
Appreciate 
Apparently
Abide
About ","Dog
cat
Mice
Hedgehog 
Snake
Dragon
Cow
Raccoon 
Bird
Eagle
Elephant 
Panda
Roosters 
Duck
","Fuck
Shit
Shite
Asshole
Dumbass
Bitch
Slut
Damn
"
2024/02/28 6:17:57 pm GMT,23,Woman,"Apple, apricot, anaconda, amino acid, acid, antagonist, Antarctic, Andalusia, angora, amen, about, acknowledge ","Anaconda, aadvar, admiral, African elephant, ","Arsehole, arse, fucker, motherfucker, twat, tits, pussy, cunt, wanker, bitch "
2024/02/28 6:17:58 pm GMT,22,Woman,"Aunty 
Apple
Ass
Any
Ant
Anything 
Anti 
Atrium 
And 
Anymore 
Anywhere 
Anywho 
Anybody 
Antenna 
Are 
Aero","Monkey
Donkey
Bird
Dolphin
Cat
Dog
Chicken
Rabbit 
Alligator
Crocodile 
Penguin 
Rat
Mouse
Butterfly
Caterpillar 
Frog
Worm
Ant
Skunk
Elephant ","Fuck 
Shit 
Bitch 
Bastard
Banchod 
Pig
Slut 
Cunt 
Dick 
Prick 
Fucker
Kanina"
2024/02/28 6:17:58 pm GMT,20,Man,"Altruism
Ass
Aviation
Academy
Arousal
Avoidance
Agile
Aroma
","Cat
Tiger
Crow
Peacock
Lion
Snake
Owl
Fox
Bear
Meerkat
Rat
Capybara
Dog
Penguin
Elephant ","Ass
Cunt
Kazhuda
Fucker
Asslicker"
2024/02/28 6:17:58 pm GMT,21,Woman,"Ass
Apple
Anagram
Ant
Aunty ","Fish
Dog
Bird
Monkey chimp chicken rabbit snake octopus eagle cat hamster tiger zebra lion leprad",Fuck shit cunt cock twat bastad bitch cuck pussy motherfucker fucker dipshit shitdick dick
2024/02/28 6:17:59 pm GMT,19,Woman,Apple ant ass act actually allows applicant approval appropriate app and as always ,Giraffe orangutan gorilla cat dog horse donkey rhino dinosaur antelope deer mouse rat slug snail beetle stingray fish goldfish butterfly penguin hedgehog leopard ,Shit fuck cunt asshole mitherfucker Wanker tosser penis pussy
2024/02/28 6:17:59 pm GMT,21,Woman,"Apple, age, aeroplane, appetiser, abyss, anticipate, aprehend, amazing, amazed, amaze, anticipated, acrobat, acrobatics, agnosia, anorexia, air","Cat, dog, whale, eagle, wolf, deer, alligator, finch, bluejay, sparrow, raven, crow, crab, pigeon, pig, falcon, owl, blackbird, hare, rabbit, bison, buffalo, ox","Fuck, shit, cunt, shite, bawbag, motherfucker"
2024/02/28 6:17:59 pm GMT,22,Woman,"Apple, admin, apex, ant, Anonymous, ample, amp, annexe, art, anxious, anxiety, anger, acquire","Bear, cat, dog, hamster, Rabbit, Fox, Wolf, chicken, Bird, Snake, pig, chicken, cow, sheep, horse, bull, koala, panda, Elephant,","Fuck, bitch, shit, crap, arsehole, prick, Dick, pussy, cunt, Fanny, "
2024/02/28 6:18:01 pm GMT,21,Man,"Answer , anxious , Andy, annual, anticipate, arousal, and,","Pigs, zebras, elephants, monkeys, pigs, turtles, penguins, lions, tigers, hen","Fuck, shit, damn, idiot, nerd, bitch"
2024/02/28 6:18:01 pm GMT,21,Woman,"Apple, air, airport, astronaut, ask, Amazon, alligator, Alzheimer’s, alopecia, allergy, ample, anatomy, amaretto, algebra, anti, ","Tiger 
Bear
Dog 
Cat
Alligator 
Monkey 
Chimpanzee 
Babboon 
Lion 
Cheetah 
Hamster 
Rat 
Mouse 
Guinea pig 
Polar bear ","Fuck 
Shit 
Asshole 
Bitch 
Mother fucker 
Fucker 
Madarchod 
Bhenchod 
Chutiya 
Gandu 
"
2024/02/28 6:18:02 pm GMT,21,Woman,apple alphabet actually as although ass arse acorn atypical anonymous accrue antler about,cat dog horse fish moose goose duck bird sparrow tiger lion cheeta puma wolf fox snake alligator turtle parakeet chinchilla hamster mouse guineapig,fuck shit cunt bitch ass arse bollocks motherfucker bloody hell
2024/02/28 6:18:02 pm GMT,20,Woman,"Asexual, Anxiety, Alphabet, Ass, Angry, And, Always, Amazing, Amateur, Among, American, As","Zebra, Elephant, Giraffe, Cat, Dog, Snake, Lizard, Fish, Spider, Gecko, Bird, Squirrel, Hamster, Guinea Pig","Cunt, Bitch, Shit, Fuck, Arse, Slut, Bastard, Bollocks, Hoe, Wankstain "
2024/02/28 6:18:08 pm GMT,22,Man,"Asshole, Ass, Arse, Animal, Apple, Aid, Annotate, Anagram, Aviation, Ant, Ankh, Annimate, Anniversary, Avalanche, Ankle, Align","Giraffe, hippopotamus, ant, anteater, dog, cat, hamster, goldfish, shark, walrus, monkey, zebra","Ass, Asshole, fuck, shit, butch, cunt, prick, kurwa, skurwisyn, zjebany, zajebisty, puta, suka, damn, knob"
2024/02/28 6:18:31 pm GMT,22,Woman,"Alpha, apple, armadillo, armpit, Adam ","Cat,dog, bird,fish,whale,dolphin","Fuck,shit,bitch,cunt,dick,bugger"
